,0
0,0.7341119842802358
1,0.8625433255755598
2,0.8490982732174253
3,0.7746195501762247
4,0.6945575655443711
5,0.6236593065325181
6,0.5622777293551066
7,0.5034836659058982
8,0.4553412690528142
9,0.42037907888102954
10,0.38728184460707016
11,0.34940662197790506
12,0.32111290407861887
13,0.29526456577059534
14,0.26878281022845324
15,0.2526610578180629
16,0.23823357647305937
17,0.22400211267690417
18,0.2112877275010254
19,0.20180836595176652
20,0.19485672746565635
21,0.19027452295852848
22,0.18029770286277597
23,0.17602820791556503
24,0.16805064870033296
25,0.16183300260256345
26,0.15475469355691046
27,0.14661514505523707
28,0.139465786069015
29,0.13454863631833483
30,0.12592115254293057
31,0.12112432686699104
32,0.11537814909399058
33,0.10772199848925154
34,0.09836164996009517
35,0.09046025612346233
36,0.08409240309225971
37,0.08008654917617841
38,0.07229312293061693
39,0.07115575064748911
40,0.07018772353239755
41,0.06749056913637222
42,0.06600972324659514
43,0.06372856108554341
44,0.062259116055938674
45,0.059308870095642986
46,0.05812595103180728
47,0.05632688261509217
48,0.05292828427365979
49,0.0487193532156112
50,0.04725539950592714
51,0.04230581860217659
52,0.03997904525906347
53,0.037355640234257734
54,0.034552176645404525
55,0.032955324999988475
56,0.03110604156375412
57,0.02745662950552399
58,0.026841195188570567
59,0.027001872631543012
60,0.023970744908070506
61,0.023770631097160183
62,0.021499191670060785
63,0.02089716632733912
64,0.01976794809405109
65,0.018481252620667132
66,0.016360208381437334
67,0.014006226927474792
68,0.012103167877901635
69,0.012246716668248045
70,0.010370733828754466
71,0.009191458265410686
72,0.009304500578359527
73,0.007880792311405815
74,0.006708428312816104
75,0.00655419671972076
76,0.005858011681152186
77,0.005861051184138032
78,0.006109420503313678
79,0.004908109746552255
80,0.0051560590637131825
81,0.005392619729929593
82,0.005539715802551918
83,0.00484169806100503
84,0.0050952625376506164
85,0.00499989322095178
86,0.005440716568147744
87,0.00452541410312391
88,0.005462335423430646
89,0.00547695090349497
90,0.0045271967474711065
91,0.004939526204284227
92,0.0049852754156861885
93,0.0055693415317796926
94,0.005817287673278214
95,0.005203733634051781
96,0.006080559056067595
97,0.0056988712381793455
98,0.005239509443920016
99,0.006365830466311679
